ID,X,Y,Population,Elevation,Slope,Landcover,Riverflow,NAME,Road_dist,Cluster
4889,223063.5387,8480450.507,8,704.2540283,14.07698619,5,,,2271.667003,2
4885,223063.5387,8476450.507,2,583.125,9.159785341,5,,,864.3924433,2
4881,223063.5387,8472450.507,2,550.3250122,1.83241936,1,,,3092.736803,2
4877,223063.5387,8468450.507,11,536.8109741,2.746685593,1,,,506.1924502,2
1081,223063.5387,8464450.507,0,566.5050049,1.8861734,5,,,2954.757189,
1077,223063.5387,8460450.507,0,625.4520264,17.22230357,1,,,4348.045057,
1073,223063.5387,8456450.507,0,1174.369995,27.2898409,1,,,7018.782594,
1050,223063.5387,8452450.507,0,1551.609985,4.723791028,1,,,7780.559616,
1046,222758.464,8448698.185,0,1300.48999,9.652452055,1,,,10010.15725,
254,221848.8702,8446285.793,0,1278.949951,2.533847478,1,,,12338.07748,
6989,226955.661,8539701.984,31,356.756012,1.341572481,1,,,9391.768694,9
6986,227063.5387,8536450.507,52,337.9790039,1.512974184,1,,,6900.50035,9
6982,227063.5387,8532450.507,19,357.1149902,0.568348993,1,,,4494.388915,9
5334,227063.5387,8528450.507,0,555.2009888,28.19593589,5,,,2772.563402,9
5330,227063.5387,8524450.507,3,399.2999878,0.947658467,1,,,816.8840138,9
5326,227063.5387,8520450.507,13,452.1809998,1.126600152,1,,,2743.3639,9
5322,227063.5387,8516450.507,0,1035.400024,6.893383076,5,,,6075.173545,
5251,227063.5387,8512450.507,0,1014.330017,7.203135305,1,,,3243.096953,
5247,227063.5387,8508450.507,0,1227.890015,4.57330095,5,,,1263.384025,
5243,227063.5387,8504450.507,0,1134.810059,1.058499529,5,,,902.0623008,
5239,227063.5387,8500450.507,0,1213.469971,11.0995195,1,,,441.2162577,
5235,227063.5387,8496450.507,0,1155.140015,8.142482351,1,,,165.677891,2
5231,227063.5387,8492450.507,14,1143.040039,1.06045168,5,,,342.5080366,2
5227,227063.5387,8488450.507,6,1200.630005,5.621921197,1,,,1528.400752,2
5157,227063.5387,8484450.507,0,1193.51001,6.785833675,5,,,4573.187518,2
5153,227063.5387,8480450.507,0,1201.75,13.89527508,1,,,1866.887042,2
5149,227063.5387,8476450.507,0,995.2659912,18.30908419,5,,,1358.103232,
5145,227063.5387,8472450.507,0,545.7719727,1.320812677,5,,,4496.911707,
5141,227063.5387,8468450.507,6,571.4279785,1.624679244,5,,,499.4490805,3
1147,227063.5387,8464450.507,0,1031.869995,27.83698133,5,,,1051.397968,
1143,227063.5387,8460450.507,0,1119.76001,5.782470132,1,,,2993.214913,
1139,227049.6854,8456464.482,0,1505.439941,4.205047955,1,,,3155.147613,
1104,226269.8701,8452954.674,0,1485.949951,3.659624193,1,,,4661.390854,
1085,225158.35,8450310.918,0,1415.449951,5.907703025,1,,,7150.984486,
7018,230053.9941,8539942.216,10,326.7919922,1.194300862,5,,,11483.84901,9
7024,230753.8826,8535983.344,14,346.1570129,7.435281545,5,,,9458.554173,9
7021,231063.5387,8532450.507,18,369.2590027,2.797213266,5,,,8133.172218,9
5594,231063.5387,8528450.507,14,903.6810303,21.59627728,1,,,4848.61051,9
5589,231063.5387,8524450.507,13,530.8289795,20.17814323,1,,,1476.766908,9
5585,231063.5387,8520450.507,1,493.1419983,6.481149274,1,,,1942.709598,9
5519,231063.5387,8516450.507,0,920.0050049,2.493389096,1,,,4773.205507,
5515,231063.5387,8512450.507,0,1115.439941,2.705873228,1,,,3698.716136,
5511,231063.5387,8508450.507,0,1137.280029,3.433427825,1,,,1244.554569,
5507,231063.5387,8504450.507,0,1243.969971,7.824350791,5,,,498.1825608,
5503,231063.5387,8500450.507,6,1056.73999,3.891654773,1,,,270.6262665,2
5499,231063.5387,8496450.507,221,1186.640015,25.38522112,1,,,1414.713673,2
5495,231063.5387,8492450.507,0,1194.810059,2.861792042,1,,,270.0689438,2
5491,231063.5387,8488450.507,0,1215.130005,11.4179452,5,,,1094.06381,
5421,231063.5387,8484450.507,1,1243.189941,16.92858395,5,,,698.7019704,3
5417,231063.5387,8480450.507,12,1248.73999,9.349311968,1,,,476.5050552,3
5413,231063.5387,8476450.507,0,1118.540039,10.92051146,1,,,2397.15738,3
5409,231063.5387,8472450.507,0,1030.880005,16.02204811,1,,,2071.607996,3
5405,231063.5387,8468450.507,27,1095.280029,37.58127902,5,,,682.306094,3
1196,231063.5387,8464450.507,0,1161.619995,1.554966397,1,,,1720.080995,3
1192,231063.5387,8460450.507,0,1377.719971,6.735102682,1,,,3025.30228,
1176,231083.0547,8456814.487,0,1460.01001,1.772285,1,,,613.8589964,
7049,234577.3084,8535756.461,14,346.1799927,2.103969061,5,,,10051.30865,9
5845,234314.7374,8532048.037,40,340.7950134,2.263419156,1,,,7324.279817,9
5841,234983.6128,8528369.963,30,373.803009,10.10159552,1,,,4631.823273,9
5837,235063.5387,8524450.507,23,386.4299927,3.242651392,5,,,973.3674767,9
5833,235063.5387,8520450.507,23,434.1530151,4.442479754,5,,,2042.752079,9
5767,235063.5387,8516450.507,2,889.3400269,3.305259667,5,,,973.1557941,9
5763,235063.5387,8512450.507,0,642.4689941,10.98836937,1,,,2179.50223,
5759,235063.5387,8508450.507,0,737.289978,26.87836636,1,,,1628.082334,
5755,235063.5387,8504450.507,0,1056.25,8.911670118,1,,,1433.149709,
5751,235063.5387,8500450.507,2,1036.329956,11.29059123,5,,,207.6087166,2
5747,235063.5387,8496450.507,0,830.5250244,6.772828098,1,,,358.756007,2
5743,235063.5387,8492450.507,1,997.7410278,15.25560731,1,,,2664.552602,2
5677,235063.5387,8488450.507,0,865.052002,4.94275776,1,,,2869.011961,
5673,235063.5387,8484450.507,6,836.2509766,2.989802324,1,,,1108.540431,3
5669,235063.5387,8480450.507,20,787.2210083,3.666461059,5,,,451.0942324,3
5665,235063.5387,8476450.507,311,822.4619751,3.039465403,1,,,162.8266273,3
7070,235063.5387,8472450.507,4450,837.625,2.670865644,1,,,318.974222,3
5661,235063.5387,8468450.507,10,797.0150146,2.234798639,1,,,230.1110129,3
1247,235063.5387,8464450.507,0,1175.160034,14.28796196,1,,,1352.11552,
